=========================================================================
                       第七章 解釋函令比對紀錄檔                         
=========================================================================

統計摘要：
  - 主檔版 (第七章_組長版.docx)：已匹配 339 筆，未匹配 105 筆
  - 新增版 (第七章(112.1開始增加).docx)：已匹配 19 筆，未匹配 9 筆
  - 合計比對成功：358 筆，合計未匹配：114 筆

比對詳細清單：
來源文件                          段落    比對結果           提取/輸入字號                            資料庫發文字號                       比對方法                預覽內容
----------------------------------------------------------------------------------------------------------------------------------------------------------------
第七章_組長版.docx                  2     匹配成功           (88)工程企字第8805761號                  (88)工程企字第8805761號函            精確字號子字串比對           主旨：關於契約生效日期如何認定一案，復如說明，請 查照。...
第七章_組長版.docx                  3     匹配成功           (89)工程企字第89004264號                 (89)工程企字第89004264號函           精確字號子字串比對           招標文件既未載明單價可調整之規定，則不應未經廠商同意擅改其單價。如有政府採購法第...
第七章_組長版.docx                  4     匹配成功           (89)工程企字第89020421號                 (89)工程企字第89020421號函           精確字號子字串比對           貴局函詢工程採購決標疑義乙案，來函所述機關依政府採購法第五十二條第一項第一款之決...
第七章_組長版.docx                  5     匹配成功           工程企字第09500328320號                  工程企字第09500328320號函            精確字號子字串比對           有關訂定合理契約單價須注意事項，如說明。...
第七章_組長版.docx                  6     匹配成功           工程企字第09500361690號                  工程企字第09500361690號函            精確字號子字串比對           檢送95年9月5日「採購契約單價訂定之執行現況及遭遇問題之研討」會議紀錄乙份。...
第七章_組長版.docx                  7     匹配成功           工程企字第09500459150號                  工程企字第09500459150號函            精確字號子字串比對           檢送95年11月9日「機關通知契約變更時契約原有項目之單價得否重新議訂」會議紀錄...
第七章_組長版.docx                  8     匹配成功           工程企字第09800157960號                  工程企字第09800157960號函            精確字號子字串比對           有關工程主辦機關於採購決標後之契約單價調整，如無正當理由，勿強以機關預算單價調整...
第七章_組長版.docx                  9     匹配成功           工程企字第09900384430號                  工程企字第09900384430號函            精確字號子字串比對           機關依政府採購法辦理工程採購，其訂定底價及決標後調整契約單價事宜如說明。...
第七章_組長版.docx                  10    匹配成功           工程企字第10000348752號                  工程企字第10000348752號函            精確字號子字串比對           機關辦理採購，決定個別項目契約單價之方式如說明。...
第七章_組長版.docx                  11    匹配成功           工程企字第10100013140號                  工程企字第10100013140號函            精確字號子字串比對           修正本會88年5月15日(88)工程企字第8805761號函內容如說明。...
第七章_組長版.docx                  12    匹配成功           工程企字第10400219220號                  工程企字第10400219220號函            精確字號子字串比對           機關依政府採購法第93條之1規定，與得標廠商採電子簽章方式簽訂之政府採購電子契約...
第七章_組長版.docx                  13    匹配成功           工程企字10400421590號                   工程企字第10400421590號函            純數字模糊比對             有關貴府於招標文件之投標須知規定由得標廠商製作裝訂契約書乙節，本會意見如說明。...
第七章_組長版.docx                  15    匹配成功           (88)工程企字第8811428號                  (88)工程企字第8811428號函            精確字號子字串比對           政府採購法第三十條第一項第三款規定「以議價方式辦理之採購，得免收押標金」，並未規...
第七章_組長版.docx                  16    匹配成功           (88)工程企字第8813025號                  (88)工程企字第8813025號函            精確字號子字串比對           機關辦理公告金額以上之採購，不得於招標文件中規定得標廠商除繳納履約保證金外，併須...
第七章_組長版.docx                  17    匹配成功           (88)工程企字第8813379號                  (88)工程企字第8813379號函            精確字號子字串比對           中國石油公司直接向國外訂購圖書資料，因向國外書商收取保證金並無可能，且一般慣例無...
第七章_組長版.docx                  18    匹配成功           (88)工程企字第8813404號                  (88)工程企字第8813404號函            精確字號子字串比對           貴局向中國石油公司採購公告金額以上之「加油摺」，其適法疑義。...
第七章_組長版.docx                  19    匹配成功           (88)工程企字第8813521號                  (88)工程企字第8813521號函            精確字號子字串比對           有關政府採購契約之廠商同業間對外保證疑慮，公司法第十六條第一項規定：「公司除依其...
第七章_組長版.docx                  20    匹配成功           (88)工程企字第8813658號                  (88)工程企字第8813658號函            精確字號子字串比對           關於中央產物保險股份有限公司開立之「工程履約保證保險單」第一條承保範圍，與「押標...
第七章_組長版.docx                  21    匹配成功           (88)工程企字第8815057號                  (88)工程企字第8815057號函            精確字號子字串比對           辦理租借展覽活動場地時是否應依規定收取保證金乙案，機關辦理採購，除依政府採購法第...
第七章_組長版.docx                  22    匹配成功           (88)工程企字第8820041號                  (88)工程企字第8820041號函            精確字號子字串比對           有關 貴院對於「停工期間逾六個月是否得以先予退還工程履約保證金及工程保留款，俟復...
第七章_組長版.docx                  23    匹配成功           (88)工程企字第8820875號                  (88)工程企字第8820875號函            精確字號子字串比對           機關辦理勞務採購給付得標廠商預付款者，得依政府採購法第三十條第一項第一款規定，免...
第七章_組長版.docx                  24    匹配成功           (88)工程企字第8820657號                  (88)工程企字第8820657號函            精確字號子字串比對           首揭「二十一期海外華商企業管理研習班」如屬合辦性質， 貴會支付之費用為補助款者，...
第七章_組長版.docx                  25    匹配成功           (89)工程企字第89038758號                 (89)工程企字第89038758號函           精確字號子字串比對           中國造船股份有限公司造艦業務工程之器材採購案乙節，得比照本會88年10月7日(8...
第七章_組長版.docx                  26    匹配成功           (90)工程企字第90014197號                 (90)工程企字第90014197號函           精確字號子字串比對           檢送「預付款還款保證連帶保證書」格式90年5月修訂版一份，請參考並轉知所屬(轄)...
第七章_組長版.docx                  27    匹配成功           (90)工程企字90023299號                  (90)工程企字第90023299號函           純數字模糊比對             各機關辦理工程採購，依政府採購法第三十條規定辦理保證金相關作業，茲補充暫行規定如...
第七章_組長版.docx                  28    匹配成功           (90)工程企字第90026275號                 (90)工程企字第90026275號函           精確字號子字串比對           為利銀行計算風險承擔，茲將「押標金\保證金連帶保證書格式」、「廠商資格履約及賠償...
第七章_組長版.docx                  29    匹配成功           (90)工程企字第90035618號                 (90)工程企字第90035618號令           精確字號子字串比對           機關辦理採購，廠商依政府採購法第三十條第二項規定以保險公司之連帶保證保險單繳納履...
第七章_組長版.docx                  30    匹配成功           (90)工程企字第90034891號                 (90)工程企字第90038122號函           精確字號比對              機關辦理採購，廠商自即日起得依財政部90年8月6日台財保字第0900750741...
第七章_組長版.docx                  31    匹配成功           (90)工程字企第90020212號                 (90)工程企字第90020212號函           純數字模糊比對             機關辦理採購，廠商依政府採購法(以下簡稱採購法)第三十條第二項及第三十七條第二項...
第七章_組長版.docx                  32    匹配成功           (90)工程企字第90027777號                 (90)工程企字第90027777號令           精確字號子字串比對           為因應當前經濟情勢及配合加速推動公共建設方案，茲就政府採購法第三十條保證金補充規...
第七章_組長版.docx                  33    匹配成功           (90)工程企字第90038261號                 (90)工程企字第90038261號函           精確字號子字串比對           廠商以符合本會所訂「押標金連帶保證保險單條款」出具之保險單繳納押標金，無本會90...
第七章_組長版.docx                  34    匹配成功           台財保字字第0900058703號                  台財保字字第0900058703號函            精確字號子字串比對           有關富邦產物保險公司簽發之「工程履約保證保險單」、「90電腦系統年序轉換除外不保...
第七章_組長版.docx                  35    匹配成功           (90)工程企字第90046808號                 (90)工程企字第90046808號函           精確字號子字串比對           有關 貴部就辦理「高鐵嘉義車站特定區公共工程規劃設計案」之履約保證金適用疑義乙案...
第七章_組長版.docx                  36    匹配成功           (91)工程企字第91012806號                 (91)工程企字第91012806號函           精確字號子字串比對           為利機關辦理本會91年3月26日修正發布之押標金保證金暨其他擔保作業辦法(以下簡...
第七章_組長版.docx                  37    匹配成功           (91)工程企字第91022839號                 (91)工程企字第91022839號函           精確字號子字串比對           茲為利各機關(構)依押標金保證金暨其他擔保作業辦法第三十三條至第三十三條之四規定...
第七章_組長版.docx                  38    匹配成功           (91)工程企字第91025550號                 (91)工程企字第91025550號函           精確字號子字串比對           各機關辦理採購，依政府採購法第三十條規定辦理保證金相關作業，茲補充及重申相關規定...
第七章_組長版.docx                  39    匹配成功           工程企字第09100489640號                  工程企字第09100489640號函            精確字號子字串比對           有關銀行出具履約保證金連帶保證書格式之疑義，復如說明。...
第七章_組長版.docx                  40    匹配成功           工程企字第09200290790號                  工程企字第09200290790號函            精確字號子字串比對           有關　行政院農業委員會桃園區農業改良場實驗台及實驗櫃標案擬依政府採購法不予發還履...
第七章_組長版.docx                  41    匹配成功           工程企字第09400338930號                  工程企字第09400338930號函            精確字號子字串比對           貴府函詢履約及賠償連帶保證廠商資格疑義，復如說明。...
第七章_組長版.docx                  42    匹配成功           金管保一字第09500009680號                 金管保1字第09500009680號函           歸一化子字串比對            所詢原屬○○產物保險股份有限公司之履約保證金連帶保證保險單是否仍具效力及被保險人...
第七章_組長版.docx                  43    匹配成功           工程企字第09500057810號                  工程企字第09500057810號函            精確字號子字串比對           貴府函詢○○產物保險股份有限公司遭勒令停業後，其出具之履約保證金保證保險單疑義，...
第七章_組長版.docx                  44    匹配成功           工程企字第09600061053號                  工程企字第09600061053號函            精確字號子字串比對           「履約保證金/保固保證金連帶保證書格式」及「履約保證金連帶保證保險單條款」，業經...
第七章_組長版.docx                  45    匹配成功           工程企字第09600114640號                  工程企字第09600114640號函            精確字號子字串比對           為健全履約保證金之效力，機關得視個案情形及實際需要於招標文件中規定如說明。...
第七章_組長版.docx                  46    匹配成功           工程企字第09600137320號                  工程企字第09600137320號函            精確字號子字串比對           關於本會函告為健全履約保證金效力，機關得視個案情形及實際需要於招標文件中加列規定...
第七章_組長版.docx                  47    匹配成功           工程企字第09600151120號                  工程企字第09600151120號函            精確字號子字串比對           關於本會96年3月22日工程企字第09600114640號函示，為健全履約保證金...
第七章_組長版.docx                  48    匹配成功           工程企字第09600267080號                  工程企字第09600267080號函            精確字號子字串比對           機關辦理採購，其履約保證金之發還方式，採分次發還情形者，補充如說明二。...
第七章_組長版.docx                  49    匹配成功           工程企字第09600373270號                  工程企字第09600373270號函            精確字號子字串比對           有關連帶保證銀行出具「銀行書面連帶保證書」有效期間展延之執行疑義，復如說明。...
