=========================================================================
                       第三章 解釋函令比對比對紀錄檔                     
=========================================================================

統計摘要：
  - 組長版：已匹配 770 筆，未匹配 77 筆
  - 新增版：已匹配 61 筆，未匹配 2 筆
  - 合計比對成功：831 筆，合計未匹配：79 筆

比對詳細清單：
來源文件                     段落    比對結果           提取/輸入字號                            資料庫發文字號                       比對方法                預覽內容
----------------------------------------------------------------------------------------------------------------------------------------------------------------
第三章_組長版.docx             2     匹配成功           (88)工程企字第8806450號                  (88)工程企字第8806450號函            精確字號子字串比對           本法第二條規定：「本法所稱採購，指工程之定作、財物之買受、定製、承租及勞務之委任...
第三章_組長版.docx             3     未匹配 (比對不出(資料庫無此字號))(88)工程企字第8809909號                                                                    貴院員工伙食餐廳作業委商經營，屬勞務採購，適用政府採購法之規定。 行政院公共工程...
第三章_組長版.docx             4     匹配成功           (88)工程企字第8811366號                  (88)工程企字第8811366號函            精確字號子字串比對           僑務委員會擬籌設「中華海外衛星電視頻道」適用政府採購法之疑義。 租用衛星頻道部分...
第三章_組長版.docx             5     匹配成功           (88)工程企字第8812366號                  (88)工程企字第8812366號函            精確字號子字串比對           本會88年7月14日工程企字第8809834號函說明三所稱僱用臨時短工係指政府採...
第三章_組長版.docx             6     匹配成功           (88)工程企字第8812837號                  (88)工程企字第8812837號函            精確字號子字串比對           貴局擬委託里守望相助隊或保全廠商辦理巡迴稽查取締，屬勞務採購。 行政院公共工程委...
第三章_組長版.docx             7     匹配成功           (88)工程企字第8813248號                  (88)工程企字第8813248號函            精確字號子字串比對           財政部「訴願案件管理系統」委外開發案硬體、軟體採購之併案招標疑義。 前揭採購如擬...
第三章_組長版.docx             8     匹配成功           (88)工程企字第8816555號                  (88)工程企字第8816555號函            歸一化模糊比對             首揭計畫包含(一)電腦及相關硬體設備採購、(二)作業系統及相關套裝軟體採購、(三...
第三章_組長版.docx             9     匹配成功           (88)工程企字第8821422號                  (88)工程企字第8821422號函            精確字號子字串比對           有關 貴局「健保ＩＣ卡實施計畫」之採購，擬認定為「勞務採購」乙案 貴局辦理首揭採...
第三章_組長版.docx             10    匹配成功           (90)工程企字第90006413號                 (90)工程企字第90006413號函           精確字號子字串比對           本法第七條之生鮮農漁產品除外規定，所稱「生鮮農漁產品」其立法意旨為食品之一種，具...
第三章_組長版.docx             11    匹配成功           工程企字第09400296920號                  工程企字第09400296920號函            精確字號子字串比對           有關電業設備或用戶用電設備屬經濟部所定工程範圍者，其設計及監造應依電業法第34條...
第三章_組長版.docx             12    匹配成功           工程企字第09800048970號                  工程企字第09800048970號函            精確字號子字串比對           貴府所詢「生鮮農漁產品」疑義，復如說明。 二、政府採購法第7條第2項所稱「生鮮農...
第三章_組長版.docx             13    匹配成功           文藝字第1063029708號                    文藝字第1063029708號函              精確字號子字串比對           貴部函詢依「公共藝術設置辦法」第17條第1項第4款規定，採「指定價購」方式徵選公...
第三章_組長版.docx             15    匹配成功           (88)工程企字第8804490號                  (88)工程企字第8804490號函            精確字號子字串比對           茲依據「政府採購法」第十二條第三項、第十三條第三項及第四十七條第三項規定，訂定查...
第三章_組長版.docx             16    匹配成功           (88)工程企字第8809171號                  (88)工程企字第8809171號函            精確字號子字串比對           有關「政府採購法」中所稱各種採購金額之認定原則，請依本法施行細則第六條之規定辦理...
第三章_組長版.docx             17    匹配成功           (88)工程企字第8808953號                  (88)工程企字第8808953號函            精確字號子字串比對           辦理各項疫苗採購適用政府採購法之情形，復如說明。  二、 關於各項疫苗依據藥事法...
第三章_組長版.docx             18    匹配成功           (88)工程企字第8811051號                  (88)工程企字第8811051號函            精確字號子字串比對           教育部委託廠商辦理大專院校體育活動，因活動性質不同得分別辦理，逐案認定採購金額。...
第三章_組長版.docx             19    匹配成功           (88)工程企字第8810634號                  (88)工程企字第8810634號函            精確字號子字串比對           伙食採購如非向固定廠商採購，而係由仁愛之家員工自行赴市場購買者，衡酌每次採購標的...
第三章_組長版.docx             20    匹配成功           (88)工程企字第8818603號                  (88)工程企字第8818603號函            精確字號子字串比對           經常性採購以選擇性招標方式建立合格廠商名單辦理者，其採購金額之認定，……..以所...
第三章_組長版.docx             21    匹配成功           工程企字第09900069500號                  工程企字第09900069500號函            精確字號子字串比對           關於依政府採購法辦理委託經營或營運管理之案件，其採購金額及預算金額之認定疑義，復...
第三章_組長版.docx             22    匹配成功           工程企字第10400048790號                  工程企字第10400048790號函            精確字號子字串比對           有關貴市(台中市)公設民營身心障礙日間托育中心委託民間團體經營管理勞務採購之採購...
第三章_組長版.docx             23    匹配成功           工程企字第1110100798號                   工程企字第1110100798號令             精確字號子字串比對           依據政府採購法第十二條第三項、第十三條第三項及第四十七條第三項規定，修正訂定查核...
第三章_組長版.docx             24    匹配成功           工程企字第11101007984號                  工程企字第11101007984號函            精確字號子字串比對           主旨：「政府採購法之查核金額、公告金額及中央機關小額採購金額」業經本會於中華民國...
第三章_組長版.docx             27    匹配成功           (88)工程企字第8806699號                  (88)工程企字第8806699號函            精確字號子字串比對           「政府採購法」第十八條第四項限制性招標，係指直接邀請廠商比價或議價，其適用條件應...
第三章_組長版.docx             28    匹配成功           (88)工程企字第8808835號                  (88)工程企字第8808835號函            精確字號子字串比對           貴局訂閱各類報紙之報費(每月約兩萬元)及其他每月結算經費之類似案件，應按預算年度...
第三章_組長版.docx             29    匹配成功           (88)工程企字第8810672號                  (88)工程企字第8810672號函            精確字號子字串比對           貴公所辦理都市計畫道路新開闢及轄內道路溝渠改善工作，委託廠商提供技術服務等勞務採...
第三章_組長版.docx             30    匹配成功           (88)工程企字第8808869號                  (88)工程企字第8808869號函            精確字號子字串比對           台灣電力股份有限公司委託金融機構辦理代收款，其有支付手續費者，屬勞務採購，適用政...
第三章_組長版.docx             31    匹配成功           (88)工程企字第8812194號                  (88)工程企字第8812194號函            精確字號子字串比對           政府採購法第二十三條規定：「未達公告金額之招標方式，在中央由主管機關定之；在地方...
第三章_組長版.docx             32    匹配成功           (88)工程企字第8812097號                  (88)工程企字第8812097號函            精確字號子字串比對           委託證券商於集中市場出售股票，係委託專業服務，如擬採固定手續費率，得採公開招標並...
第三章_組長版.docx             33    匹配成功           (89)工程企字第89005239號                 (89)工程企字第89005239號函           精確字號子字串比對           臺中市測量工程商業同業公會建議重新考量純測量工程不以服務建議書方式，應如同營建工...
第三章_組長版.docx             34    匹配成功           工程企字第09100566170號                  工程企字第09100566170號函            精確字號子字串比對           檢送中華民國營造工程工業同業公會聯合會及台灣區營造工程工業同業公會91年12月5...
