=========================================================================
                       第五章 解釋函令比對紀錄檔                         
=========================================================================

統計摘要：
  - 主檔版 (第五章.docx)：已匹配 105 筆，未匹配 2 筆
  - 新增版 (第五章(112.1開始增加).docx)：已匹配 9 筆，未匹配 0 筆
  - 合計比對成功：114 筆，合計未匹配：2 筆

比對詳細清單：
來源文件                          段落    比對結果           提取/輸入字號                            資料庫發文字號                       比對方法                預覽內容
----------------------------------------------------------------------------------------------------------------------------------------------------------------
第五章.docx                      2     匹配成功           (88)工程企字第8809431號                  (88)工程企字第8809431號函            精確字號子字串比對           政府採購法第四十八條所稱三家以上合格廠商投標，詳本法施行細則第五十五條之規定，後...
第五章.docx                      3     匹配成功           (88)工程企字第8810722號                  (88)工程企字第8810722號函            精確字號子字串比對           本法第四十八條第一項所稱三家以上合格廠商，應符合本法施行細則第五十五條之規定，如...
第五章.docx                      4     匹配成功           (88)工程企字第8812854號                  (88)工程企字第8812854號函            精確字號子字串比對           查核金額以上之採購，以公開招標方式辦理第三次以後之開標，其投標廠商家數不受限制，...
第五章.docx                      5     匹配成功           (88)工程企字第8812471號                  (88)工程企字第8812471號函            精確字號子字串比對           未達公告金額之採購，其金額逾公告金額十分之一者，如依政府採購法第四十九條規定，以...
第五章.docx                      6     匹配成功           (88)工程企字第8813674號                  (88)工程企字第8813674號函            精確字號子字串比對           未達公告金額而逾公告金額十分之一之採購，其依政府採購法第四十九條之規定，以取得三...
第五章.docx                      7     匹配成功           (88)工程企字第8814175號                  (88)工程企字第8814175號函            精確字號子字串比對           貴府函詢機關依政府採購法第四十二條規定採分段開標，其第一階段開標適用範圍乙節，機...
第五章.docx                      8     匹配成功           (88)工程企字第8815298號                  (88)工程企字第8815298號函            精確字號子字串比對           依「中央機關未達公告金額採購招標辦法」第二條第一項第三款規定，以公開取得三家以上...
第五章.docx                      9     匹配成功           (88)工程企字第8816122號                  (88)工程企字第8816122號函            精確字號子字串比對           貴局函詢關於機關辦理採購合格廠商家數規定之疑義。...
第五章.docx                      10    匹配成功           (88)工程企字第8818446號                  (88)工程企字第8818446號函            精確字號子字串比對           機關辦理選擇性招標，其係依本法第二十一條第一項為建立合格廠商名單而預先辦理資格審...
第五章.docx                      11    匹配成功           (89)工程企字第89014060號                 (89)工程企字第89014060號函           精確字號子字串比對           政府採購法第四十八條第一項規定之執行疑義。...
第五章.docx                      12    匹配成功           工程企字第09100312010號                  工程企字第09100312010號函            精確字號子字串比對           修正「機關辦理採購之廠商家數規定一覽表」如附件。...
第五章.docx                      14    匹配成功           工程企字第09400343180號                  工程企字第09400343180號函            精確字號子字串比對           有關 貴府函詢機關辦理電子領標於人工開標時檢驗廠商領標電子憑據書面明細之執行疑義...
第五章.docx                      15    匹配成功           工程企字第09700060670號                  工程企字第09700060670號令            精確字號子字串比對           機關辦理採購，不同投標廠商參與投標，卻由同一廠商之人員代表出席開標、評審、評選、...
第五章.docx                      16    匹配成功           工程企字第09700026700號                  工程企字第09700026700號函            精確字號子字串比對           關於本會96年1月22日工程企字第09600028830號令之執行，涉及合格廠商...
