=========================================================================
                       第六章 解釋函令比對紀錄檔                         
=========================================================================

統計摘要：
  - 主檔版 (第六章_組長版.docx)：已匹配 81 筆，未匹配 3 筆
  - 新增版 (第六章(112.1開始增加).docx)：已匹配 8 筆，未匹配 0 筆
  - 合計比對成功：89 筆，合計未匹配：3 筆

比對詳細清單：
來源文件                          段落    比對結果           提取/輸入字號                            資料庫發文字號                       比對方法                預覽內容
----------------------------------------------------------------------------------------------------------------------------------------------------------------
第六章_組長版.docx                  2     匹配成功           (88)工程企字第8807444號                  (88)工程企字第8807444號函            精確字號子字串比對           政府採購法施行細則第八十二條所稱「因正當商業行為所為之給付」，指廠商間因正當商業...
第六章_組長版.docx                  3     未匹配 (比對不出(資料庫無此字號))(88)工程企傳字第0018號                                                                      依本法第五十五條規定採最低標決標之協商措施，包括價格之變動。機關得就招標文件中已...
第六章_組長版.docx                  4     匹配成功           (88)工程企字第8813547號                  (88)工程企字第8813547號函            精確字號子字串比對           政府採購法第五十二條第一項第一款規定：[訂有底價之採購，以合於招標文件規定，且在...
第六章_組長版.docx                  6     匹配成功           (88)工程企字第8812196號                  (88)工程企字第8812196號函            精確字號子字串比對           依「政府採購法」第五十八條規定如不決標予最低標甲廠商，應以來函所稱未超底價次低標...
第六章_組長版.docx                  7     匹配成功           (88)工程企字第8813240號                  (88)工程企字第8813240號函            精確字號子字串比對           「各機關辦理採購之廠商家數規定一覽表」第十二項未達公告金額採購之「公開取得報價或...
第六章_組長版.docx                  8     匹配成功           (88)工程企字第8816923號                  (88)工程企字第8816923號函            精確字號子字串比對           機關辦理採購之減價或比減價格，廠商要求延後提出減價金額之執行疑義。...
第六章_組長版.docx                  9     匹配成功           (88)工程企字第8820198號                  (88)工程企字第8820198號函            精確字號子字串比對           機關辦理比減價格一次或二次後，僅餘一家廠商繼續減價時，如該廠商書面表示減至底價或...
第六章_組長版.docx                  10    匹配成功           (88)工程企字第8820569號                  (88)工程企字第8820569號函            精確字號子字串比對           開標結果如須減價而相關廠商未到場時之處理，應視招標文件有無規定廠商應派代表到場以...
第六章_組長版.docx                  11    匹配成功           (89)工程企字第88022893號                 (89)工程企字第88022893號函           精確字號子字串比對           機關洽廠商減價，不應允許廠商以電話或口頭方式減價，其他方式請依採購案件之特性及實...
第六章_組長版.docx                  12    匹配成功           工程企字第10000100990號                  工程企字第10000100990號函            精確字號子字串比對           關於政府採購法施行細則第58條第1項第2款之執行疑義，復如說明。...
第六章_組長版.docx                  13    匹配成功           工程企字第10000348751號                  工程企字第10000348751號函            精確字號子字串比對           有關政府採購總價決標之運作模式如說明，請查照並轉知貴機關所屬會計、政風部門。...
第六章_組長版.docx                  14    匹配成功           工程企字第10300135870號                  工程企字第10300135870號函            精確字號子字串比對           機關辦理採購，其訂定底價及廠商報價超底價之減價程序請依規定謹慎處理，避免發生爭議...
第六章_組長版.docx                  16    匹配成功           (88)工程企字第8808150號                  (88)工程企字第8813404號函            精確字號子字串比對           機關採購公用事業依一定費率供應之標的，如確屬獨家供應且無法以議價方式辦理者，得免...
第六章_組長版.docx                  17    匹配成功           (88)工程企字第8818627號                  (88)工程企字第8818627號函            精確字號子字串比對           有關未得標廠商之投標文件，廠商要求發還投標文件者，機關得保留其中一份，其餘發還，...
第六章_組長版.docx                  18    匹配成功           工程企字第09400096190號                  工程企字第09400096190號函            精確字號子字串比對           關於政府採購法第22條及第52條執行疑義，復如說明。...
第六章_組長版.docx                  19    未匹配 (比對不出(資料庫無此字號))工程企字第09999363980號                                                                    國立故宮博物院向美國國會圖書館申請複製該館藏輿圖圖像案，是否適用政府採購法之疑義...
第六章_組長版.docx                  21    匹配成功           工程企字第09500191630號                  工程企字第09500191630號函            精確字號子字串比對           檢送「機關異質採購最低標作業須知」、「機關異質採購最有利標作業須知」及「政府採購...
第六章_組長版.docx                  22    匹配成功           工程企字第10100219610號                  工程企字第10100219610號函            精確字號子字串比對           機關辦理技術服務採購，廠商於投標時須提出設計圖，供機關於開標後辦理競圖者，不適用...
第六章_組長版.docx                  23    匹配成功           工程企字第10200002050號                  工程企字第10200002050號函            精確字號子字串比對           檢送本會101年12月24日研商「臺中市政府辦理101年度之建築工程委託規劃設計...
第六章_組長版.docx                  25    匹配成功           (88)工程企字第8820990號                  (88)工程企字第8820990號函            精確字號子字串比對           採購評選委員會決議及評選事項，機關首長得否變更或不採納乙節，應視招標文件所載評定...
第六章_組長版.docx                  26    匹配成功           (89)工程企字第88022621號                 (89)工程企字第88022621號函           精確字號子字串比對           依「最有利標評選辦法」規定應載明於紀錄之事項。首揭辦法第二十條第一項第六款規定，...
第六章_組長版.docx                  27    匹配成功           工程企字第09400042470號                  工程企字第09400042470號函            精確字號子字串比對           機關辦理公告金額以上之採購，如有依政府採購法第94條規定辦理評選者，建議儘量將採...
