=========================================================================
                       第四章 解釋函令比對紀錄檔                         
=========================================================================

統計摘要：
  - 組長版：已匹配 132 筆，未匹配 1 筆
  - 新增版：已匹配 12 筆，未匹配 0 筆
  - 合計比對成功：144 筆，合計未匹配：1 筆

比對詳細清單：
來源文件                     段落    比對結果           提取/輸入字號                            資料庫發文字號                       比對方法                預覽內容
----------------------------------------------------------------------------------------------------------------------------------------------------------------
第四章_組長版.docx             2     匹配成功           (88)工程企字第8807431號                  (88)工程企字第8807431號函            精確字號子字串比對           招標公告無需另行通知各相關行業公會，惟如認通知各相關行業公會有益於招標資訊之公開...
第四章_組長版.docx             3     匹配成功           (88)工程企字第8810724號                  (88)工程企字第8810724號函            精確字號子字串比對           貴府如對於國小教科書之選擇，已有良善之機制，則可分就所挑選之每一年級使用之每一科...
第四章_組長版.docx             4     匹配成功           (88)工程企字第8811367號                  (88)工程企字第8811367號函            精確字號子字串比對           政府採購法第二十二條第一項第五款適用工程、財物或勞務採購，委託辦理研究計畫屬勞務...
第四章_組長版.docx             5     匹配成功           (88)工程企字第8815298號                  (88)工程企字第8815298號函            精確字號子字串比對           機關採分段開標，以「招標投標及契約文件範本」為機關招標、廠商投標及機關決標簽約三...
第四章_組長版.docx             6     匹配成功           (88)工程企字第8814908號                  (88)工程企字第8814908號函            精確字號子字串比對           原有採購依政府採購法第二十二條第一項第七款辦理者，須敘明得擴充之項目、內容或其金...
第四章_組長版.docx             7     匹配成功           (88)工程企字第8815870號                  (88)工程企字第8815870號函            精確字號子字串比對           機關辦理公開招標或選擇性招標，主動免費寄發招標文件予廠商之執行疑義。...
第四章_組長版.docx             8     匹配成功           (88)工程企字第8819938號                  (88)工程企字第8819938號函            精確字號子字串比對           廣告託播為勞務採購，應依政府採購法第十八條至第二十三條規定，擇適當方式辦理招標。...
第四章_組長版.docx             9     匹配成功           (88)工程企字第8819636號                  (88)工程企字第8819636號函            精確字號子字串比對           機關依前揭條款辦理「公開客觀評選」，為限制性招標之前置作業程序，依「政府採購公告...
第四章_組長版.docx             10    匹配成功           (88)工程企字第8820203號                  (88)工程企字第8820203號函            精確字號子字串比對           貴部所屬國立臺灣師範大學如以限制性招標方式向國外出版商採購圖書等書刊資料，仍需依...
第四章_組長版.docx             11    匹配成功           (89)工程企字第88023065號                 (89)工程企字第88023065號函           精確字號子字串比對           招標公告登載事項，應依政府採購公告及公報發行辦法第六條規定列明採購數量摘要，數量...
